epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1315.17,0.44441,0.4993,0.92486,0.91769,0.82003,0.89208,0.84606,0.35596,0.52824,0.84729,0.0008911,0.0008911,0.0008911
57,1337.47,0.45262,0.48169,0.90567,0.88192,0.85748,0.90458,0.86518,0.3552,0.54142,0.83656,0.00088912,0.00088912,0.00088912
58,1359.61,0.42304,0.48805,0.90165,0.92813,0.84639,0.90088,0.8726,0.34496,0.50706,0.85518,0.00088714,0.00088714,0.00088714
59,1382.06,0.41795,0.523,0.89079,0.90119,0.8272,0.88939,0.85579,0.36326,0.54429,0.84805,0.00088516,0.00088516,0.00088516
60,1404.6,0.45021,0.47349,0.9095,0.89967,0.85,0.91317,0.87963,0.32869,0.51251,0.83555,0.00088318,0.00088318,0.00088318
61,1426.75,0.45133,0.4963,0.91872,0.84566,0.8817,0.89245,0.85747,0.34458,0.54136,0.83278,0.0008812,0.0008812,0.0008812
62,1449.25,0.41918,0.48712,0.90578,0.82066,0.8873,0.90128,0.86267,0.34794,0.55909,0.83157,0.00087922,0.00087922,0.00087922
63,1471.92,0.40655,0.43969,0.89944,0.90881,0.82488,0.89639,0.85733,0.3494,0.52695,0.83812,0.00087724,0.00087724,0.00087724
64,1494.41,0.4258,0.45746,0.90106,0.92572,0.88625,0.92078,0.8802,0.34127,0.46522,0.83129,0.00087526,0.00087526,0.00087526
65,1517.07,0.43843,0.48256,0.91858,0.91906,0.87748,0.91428,0.8847,0.34736,0.46575,0.82597,0.00087328,0.00087328,0.00087328
66,1540.34,0.44888,0.44871,0.91155,0.93476,0.84125,0.91176,0.86513,0.37564,0.51026,0.82859,0.0008713,0.0008713,0.0008713
67,1562.88,0.45884,0.49181,0.93502,0.90584,0.85375,0.89848,0.86609,0.33205,0.48347,0.81385,0.00086932,0.00086932,0.00086932
