epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1210.76,0.34006,0.29311,0.86908,0.96608,0.84407,0.91943,0.89544,0.2663,0.27688,0.80253,0.000466997,0.000466997,0.000466997
70,1227.87,0.34409,0.28306,0.8725,0.96563,0.84052,0.93142,0.91209,0.2585,0.27875,0.79496,0.00045285,0.00045285,0.00045285
71,1244.79,0.34108,0.2947,0.8758,0.95499,0.87291,0.90506,0.88848,0.26288,0.31289,0.79196,0.000438703,0.000438703,0.000438703
72,1260.79,0.33242,0.28037,0.89155,0.93815,0.89865,0.91371,0.88325,0.2869,0.32456,0.81483,0.000424556,0.000424556,0.000424556
73,1278.7,0.33157,0.28204,0.87921,0.94485,0.88891,0.9094,0.87575,0.28556,0.32188,0.80762,0.000410409,0.000410409,0.000410409
74,1296.41,0.33104,0.27727,0.86468,0.97971,0.82918,0.9352,0.90809,0.27392,0.28871,0.79578,0.000396262,0.000396262,0.000396262
75,1312.42,0.34255,0.27558,0.88233,0.95431,0.8814,0.93497,0.91029,0.26469,0.27259,0.80114,0.000382115,0.000382115,0.000382115
76,1329.82,0.34519,0.27848,0.87868,0.94952,0.9042,0.94287,0.9193,0.27182,0.27406,0.80028,0.000367967,0.000367967,0.000367967
77,1347.11,0.3192,0.27454,0.87501,0.9444,0.92971,0.9412,0.91804,0.25811,0.2822,0.79936,0.00035382,0.00035382,0.00035382
78,1364.29,0.32337,0.26843,0.87056,0.93988,0.88913,0.94042,0.92013,0.23439,0.28634,0.79004,0.000339673,0.000339673,0.000339673
79,1382.09,0.31978,0.26285,0.87849,0.94347,0.88605,0.93673,0.91283,0.24849,0.26613,0.79909,0.000325526,0.000325526,0.000325526
80,1400.54,0.31267,0.26036,0.87408,0.95159,0.89865,0.91329,0.88611,0.26329,0.27283,0.80904,0.000311379,0.000311379,0.000311379
81,1416.59,0.31937,0.26312,0.87909,0.94928,0.88063,0.90417,0.88267,0.265,0.29928,0.81163,0.000297232,0.000297232,0.000297232
82,1434.43,0.29149,0.24786,0.86923,0.96757,0.86995,0.90609,0.88071,0.26035,0.27512,0.81348,0.000283085,0.000283085,0.000283085
83,1450.55,0.31079,0.25875,0.87122,0.96491,0.86976,0.91991,0.89257,0.25614,0.29308,0.80526,0.000268938,0.000268938,0.000268938
84,1468.13,0.30416,0.25159,0.86693,0.96203,0.86396,0.9311,0.90232,0.2575,0.32553,0.79437,0.000254791,0.000254791,0.000254791
85,1485.61,0.29239,0.2475,0.87087,0.94681,0.91764,0.93323,0.91032,0.25203,0.32318,0.79005,0.000240644,0.000240644,0.000240644
86,1502.83,0.30714,0.24873,0.86628,0.95956,0.87744,0.93554,0.91046,0.27658,0.30598,0.80567,0.000226497,0.000226497,0.000226497
87,1520.16,0.29591,0.2419,0.86309,0.9528,0.88123,0.9394,0.91057,0.26343,0.28602,0.79832,0.000212349,0.000212349,0.000212349
88,1538.45,0.29247,0.23773,0.86295,0.96615,0.90897,0.94607,0.91751,0.25929,0.27475,0.79677,0.000198202,0.000198202,0.000198202
89,1555.91,0.29391,0.24483,0.85933,0.97379,0.92291,0.95004,0.92164,0.25145,0.26698,0.79335,0.000184055,0.000184055,0.000184055
90,1573.03,0.29594,0.24284,0.86669,0.95836,0.92597,0.94853,0.92396,0.25494,0.27924,0.79558,0.000169908,0.000169908,0.000169908
91,1605.45,0.21009,0.18642,0.78612,0.94861,0.89047,0.92992,0.90036,0.26361,0.27695,0.80866,0.000155761,0.000155761,0.000155761
92,1622.43,0.20718,0.16625,0.78546,0.95338,0.89076,0.92944,0.89806,0.2656,0.28859,0.80925,0.000141614,0.000141614,0.000141614
93,1640.59,0.20548,0.16166,0.77058,0.95602,0.89,0.93679,0.90803,0.26062,0.27501,0.80561,0.000127467,0.000127467,0.000127467
94,1658.25,0.20621,0.16875,0.7852,0.95955,0.8828,0.93106,0.90003,0.26084,0.27141,0.80489,0.00011332,0.00011332,0.00011332
95,1674.42,0.19622,0.16262,0.78589,0.96188,0.88225,0.92043,0.88957,0.26245,0.26953,0.80734,9.91726e-05,9.91726e-05,9.91726e-05
96,1692.04,0.18886,0.15529,0.78333,0.95713,0.87249,0.91585,0.8879,0.25946,0.27674,0.8083,8.50255e-05,8.50255e-05,8.50255e-05
97,1709.08,0.18803,0.15221,0.77696,0.96284,0.88122,0.92027,0.88745,0.24999,0.27752,0.80529,7.08784e-05,7.08784e-05,7.08784e-05
98,1725.72,0.18399,0.15762,0.78964,0.9618,0.88144,0.92147,0.89135,0.24468,0.2655,0.80374,5.67313e-05,5.67313e-05,5.67313e-05
99,1743.7,0.18917,0.15327,0.77889,0.96116,0.88126,0.92143,0.89128,0.24672,0.26715,0.80417,4.25842e-05,4.25842e-05,4.25842e-05
100,1760.15,0.17985,0.14754,0.78075,0.96202,0.88136,0.9208,0.8907,0.24613,0.26704,0.80376,2.84371e-05,2.84371e-05,2.84371e-05
